image,tag,result,k,object_ratio,background_ratio,k_x_object_ratio,k_x_background_ratio,perturbed_pixel,pixel_perturbed_percentage,total_pixel
n02089867_Walker_hound,object,unsafe,1568.0,0.9300860969387756,0.06991390306122436,1458.3750000000002,109.6249999999998,1458.3750000000002,2.9065190529,50176.0
n02089973_English_foxhound,whole-image,unsafe,1568.0,0.736686862244898,0.263313137755102,1155.125,412.87499999999994,1568.0,3.125,50176.0
n02089973_English_foxhound,background,unsafe,1568.0,0.736686862244898,0.263313137755102,1155.125,412.87499999999994,412.87499999999994,0.8228535555,50176.0
n02089973_English_foxhound,object,unsafe,1568.0,0.736686862244898,0.263313137755102,1155.125,412.87499999999994,1155.125,2.3021464445,50176.0
n02090379_redbone,whole-image,safe,1568.0,0.619758450255102,0.380241549744898,971.78125,596.21875,1568.0,3.125,50176.0
n02090379_redbone,background,safe,1568.0,0.619758450255102,0.380241549744898,971.78125,596.21875,596.21875,1.188254843,50176.0
n02090379_redbone,object,safe,1568.0,0.619758450255102,0.380241549744898,971.78125,596.21875,971.78125,1.936745157,50176.0
n02090622_borzoi,whole-image,safe,1568.0,0.8230628188775511,0.17693718112244894,1290.5625,277.43749999999994,1568.0,3.125,50176.0
n02090622_borzoi,background,safe,1568.0,0.8230628188775511,0.17693718112244894,1290.5625,277.43749999999994,277.43749999999994,0.552928691,50176.0
n02090622_borzoi,object,safe,1568.0,0.8230628188775511,0.17693718112244894,1290.5625,277.43749999999994,1290.5625,2.572071309,50176.0
n02090721_Irish_wolfhound,whole-image,safe,1568.0,0.9150191326530612,0.08498086734693877,1434.75,133.25,1568.0,3.125,50176.0
n02090721_Irish_wolfhound,background,safe,1568.0,0.9150191326530612,0.08498086734693877,1434.75,133.25,133.25,0.2655652105,50176.0
n02090721_Irish_wolfhound,object,safe,1568.0,0.9150191326530612,0.08498086734693877,1434.75,133.25,1434.75,2.8594347895,50176.0
n02091032_Italian_greyhound,whole-image,safe,1568.0,0.5524952168367347,0.44750478316326525,866.3125000000001,701.6874999999999,1568.0,3.125,50176.0
n02091032_Italian_greyhound,background,safe,1568.0,0.5524952168367347,0.44750478316326525,866.3125000000001,701.6874999999999,701.6874999999999,1.3984524474,50176.0
n02091032_Italian_greyhound,object,safe,1568.0,0.5524952168367347,0.44750478316326525,866.3125000000001,701.6874999999999,866.3125000000001,1.7265475526,50176.0
n02091134_whippet,whole-image,safe,1568.0,0.9835379464285714,0.016462053571428603,1542.1875,25.81250000000005,1568.0,3.125,50176.0
